Week,Index,SearchWord,Category,Country
23-08-2020,61,Croatia,All,US
30-08-2020,39,Croatia,All,US
11-10-2020,38,Croatia,All,US
15-11-2020,46,Croatia,All,US
30-05-2021,53,Croatia,All,US
05-09-2021,58,Croatia,All,US
12-09-2021,81,Croatia,All,US
19-09-2021,63,Croatia,All,US
10-10-2021,42,Croatia,All,US
14-11-2021,42,Croatia,All,US
20-02-2022,60,Croatia,All,US
27-02-2022,71,Croatia,All,US
06-03-2022,34,Croatia,All,US
13-03-2022,59,Croatia,All,US
27-03-2022,39,Croatia,All,US
03-04-2022,53,Croatia,All,US
10-04-2022,62,Croatia,All,US
17-04-2022,62,Croatia,All,US
24-04-2022,33,Croatia,All,US
01-05-2022,41,Croatia,All,US
08-05-2022,34,Croatia,All,US
15-05-2022,39,Croatia,All,US
22-05-2022,40,Croatia,All,US
28-08-2022,34,Croatia,All,US
04-09-2022,56,Croatia,All,US
11-09-2022,55,Croatia,All,US
25-09-2022,43,Croatia,All,US
02-10-2022,80,Croatia,All,US
13-11-2022,73,Croatia,All,US
25-12-2022,43,Croatia,All,US
08-01-2023,61,Croatia,All,US
15-01-2023,65,Croatia,All,US
22-01-2023,48,Croatia,All,US
29-01-2023,34,Croatia,All,US
18-03-2018,47,Croatia,All,US
25-03-2018,44,Croatia,All,US
06-05-2018,39,Croatia,All,US
13-05-2018,52,Croatia,All,US
20-05-2018,51,Croatia,All,US
26-08-2018,35,Croatia,All,US
11-11-2018,66,Croatia,All,US
24-03-2019,79,Croatia,All,US
05-05-2019,52,Croatia,All,US
12-05-2019,66,Croatia,All,US
19-05-2019,35,Croatia,All,US
18-08-2019,30,Croatia,All,US
25-08-2019,53,Croatia,All,US
01-09-2019,36,Croatia,All,US
08-09-2019,79,Croatia,All,US
26-07-2020,59,Croatia,All,US
09-08-2020,59,Croatia,All,US
16-08-2020,79,Croatia,All,US
06-09-2020,61,Croatia,All,US
27-12-2020,40,Croatia,All,US
04-07-2021,29,Croatia,All,US
11-07-2021,34,Croatia,All,US
18-07-2021,34,Croatia,All,US
25-07-2021,46,Croatia,All,US
01-08-2021,37,Croatia,All,US
08-08-2021,65,Croatia,All,US
15-08-2021,67,Croatia,All,US
22-08-2021,51,Croatia,All,US
29-08-2021,37,Croatia,All,US
20-03-2022,40,Croatia,All,US
29-05-2022,36,Croatia,All,US
19-06-2022,41,Croatia,All,US
26-06-2022,29,Croatia,All,US
03-07-2022,71,Croatia,All,US
10-07-2022,63,Croatia,All,US
17-07-2022,33,Croatia,All,US
31-07-2022,69,Croatia,All,US
07-08-2022,50,Croatia,All,US
14-08-2022,61,Croatia,All,US
21-08-2022,61,Croatia,All,US
18-09-2022,68,Croatia,All,US
01-01-2023,60,Croatia,All,US
04-03-2018,64,Florence,All,US
11-03-2018,29,Florence,All,US
18-03-2018,64,Florence,All,US
25-03-2018,52,Florence,All,US
01-04-2018,53,Florence,All,US
08-04-2018,42,Florence,All,US
15-04-2018,63,Florence,All,US
22-04-2018,52,Florence,All,US
29-04-2018,63,Florence,All,US
06-05-2018,75,Florence,All,US
13-05-2018,70,Florence,All,US
20-05-2018,61,Florence,All,US
03-06-2018,42,Florence,All,US
10-06-2018,50,Florence,All,US
17-06-2018,58,Florence,All,US
01-07-2018,37,Florence,All,US
08-07-2018,31,Florence,All,US
15-07-2018,58,Florence,All,US
22-07-2018,34,Florence,All,US
29-07-2018,59,Florence,All,US
05-08-2018,72,Florence,All,US
12-08-2018,36,Florence,All,US
26-08-2018,72,Florence,All,US
07-10-2018,37,Florence,All,US
14-10-2018,73,Florence,All,US
28-10-2018,69,Florence,All,US
11-11-2018,34,Florence,All,US
27-01-2019,76,Florence,All,US
03-02-2019,80,Florence,All,US
10-02-2019,43,Florence,All,US
17-02-2019,47,Florence,All,US
24-02-2019,54,Florence,All,US
03-03-2019,39,Florence,All,US
10-03-2019,47,Florence,All,US
17-03-2019,74,Florence,All,US
24-03-2019,61,Florence,All,US
31-03-2019,46,Florence,All,US
07-04-2019,79,Florence,All,US
14-04-2019,35,Florence,All,US
21-04-2019,72,Florence,All,US
28-04-2019,30,Florence,All,US
05-05-2019,29,Florence,All,US
12-05-2019,81,Florence,All,US
19-05-2019,45,Florence,All,US
26-05-2019,77,Florence,All,US
02-06-2019,39,Florence,All,US
09-06-2019,34,Florence,All,US
16-06-2019,56,Florence,All,US
23-06-2019,38,Florence,All,US
30-06-2019,61,Florence,All,US
07-07-2019,56,Florence,All,US
14-07-2019,79,Florence,All,US
21-07-2019,76,Florence,All,US
28-07-2019,62,Florence,All,US
04-08-2019,66,Florence,All,US
11-08-2019,64,Florence,All,US
18-08-2019,45,Florence,All,US
25-08-2019,43,Florence,All,US
01-09-2019,58,Florence,All,US
08-09-2019,72,Florence,All,US
15-09-2019,81,Florence,All,US
22-09-2019,64,Florence,All,US
29-09-2019,29,Florence,All,US
15-12-2019,38,Florence,All,US
22-12-2019,64,Florence,All,US
05-01-2020,33,Florence,All,US
12-01-2020,80,Florence,All,US
19-01-2020,33,Florence,All,US
26-01-2020,79,Florence,All,US
02-02-2020,46,Florence,All,US
09-02-2020,67,Florence,All,US
16-02-2020,57,Florence,All,US
23-02-2020,75,Florence,All,US
01-03-2020,68,Florence,All,US
10-05-2020,41,Florence,All,US
14-02-2021,39,Florence,All,US
04-07-2021,45,Florence,All,US
18-07-2021,60,Florence,All,US
25-07-2021,80,Florence,All,US
01-08-2021,61,Florence,All,US
02-01-2022,59,Florence,All,US
06-03-2022,71,Florence,All,US
27-03-2022,60,Florence,All,US
03-04-2022,59,Florence,All,US
17-04-2022,38,Florence,All,US
24-04-2022,68,Florence,All,US
01-05-2022,57,Florence,All,US
08-05-2022,68,Florence,All,US
15-05-2022,32,Florence,All,US
22-05-2022,35,Florence,All,US
05-06-2022,73,Florence,All,US
19-06-2022,57,Florence,All,US
17-07-2022,59,Florence,All,US
24-07-2022,59,Florence,All,US
31-07-2022,54,Florence,All,US
07-08-2022,79,Florence,All,US
14-08-2022,36,Florence,All,US
21-08-2022,50,Florence,All,US
28-08-2022,57,Florence,All,US
11-09-2022,35,Florence,All,US
18-09-2022,34,Florence,All,US
25-09-2022,50,Florence,All,US
02-10-2022,58,Florence,All,US
09-10-2022,40,Florence,All,US
23-10-2022,35,Florence,All,US
30-10-2022,63,Florence,All,US
06-11-2022,75,Florence,All,US
13-11-2022,49,Florence,All,US
20-11-2022,36,Florence,All,US
01-01-2023,38,Florence,All,US
08-01-2023,81,Florence,All,US
11-02-2018,80,Croatia,All,US
21-10-2018,73,Croatia,All,US
28-10-2018,76,Croatia,All,US
04-11-2018,42,Croatia,All,US
25-11-2018,80,Croatia,All,US
02-12-2018,45,Croatia,All,US
09-12-2018,76,Croatia,All,US
16-12-2018,56,Croatia,All,US
23-12-2018,57,Croatia,All,US
20-10-2019,63,Croatia,All,US
27-10-2019,81,Croatia,All,US
03-11-2019,36,Croatia,All,US
10-11-2019,48,Croatia,All,US
17-11-2019,72,Croatia,All,US
24-11-2019,75,Croatia,All,US
01-12-2019,33,Croatia,All,US
08-12-2019,58,Croatia,All,US
15-12-2019,75,Croatia,All,US
22-12-2019,65,Croatia,All,US
02-02-2020,32,Croatia,All,US
09-02-2020,69,Croatia,All,US
01-03-2020,59,Croatia,All,US
08-03-2020,40,Croatia,All,US
15-03-2020,47,Croatia,All,US
03-05-2020,73,Croatia,All,US
10-05-2020,68,Croatia,All,US
17-05-2020,44,Croatia,All,US
24-05-2020,32,Croatia,All,US
31-05-2020,41,Croatia,All,US
07-06-2020,80,Croatia,All,US
14-06-2020,45,Croatia,All,US
13-09-2020,46,Croatia,All,US
20-09-2020,55,Croatia,All,US
04-10-2020,52,Croatia,All,US
08-11-2020,60,Croatia,All,US
03-01-2021,34,Croatia,All,US
21-02-2021,35,Croatia,All,US
07-03-2021,46,Croatia,All,US
14-03-2021,31,Croatia,All,US
21-03-2021,38,Croatia,All,US
28-03-2021,30,Croatia,All,US
04-04-2021,66,Croatia,All,US
11-04-2021,58,Croatia,All,US
18-04-2021,39,Croatia,All,US
25-04-2021,78,Croatia,All,US
02-05-2021,73,Croatia,All,US
09-05-2021,47,Croatia,All,US
16-05-2021,35,Croatia,All,US
23-05-2021,29,Croatia,All,US
26-09-2021,65,Croatia,All,US
03-10-2021,62,Croatia,All,US
17-10-2021,59,Croatia,All,US
31-10-2021,77,Croatia,All,US
07-11-2021,43,Croatia,All,US
21-11-2021,64,Croatia,All,US
12-12-2021,76,Croatia,All,US
26-12-2021,77,Croatia,All,US
02-01-2022,33,Croatia,All,US
09-01-2022,52,Croatia,All,US
16-01-2022,68,Croatia,All,US
23-01-2022,73,Croatia,All,US
30-01-2022,73,Croatia,All,US
06-02-2022,50,Croatia,All,US
13-02-2022,71,Croatia,All,US
09-10-2022,71,Croatia,All,US
16-10-2022,67,Croatia,All,US
23-10-2022,53,Croatia,All,US
30-10-2022,70,Croatia,All,US
06-11-2022,55,Croatia,All,US
27-05-2018,29,Croatia,All,US
03-06-2018,77,Croatia,All,US
10-06-2018,67,Croatia,All,US
17-06-2018,38,Croatia,All,US
24-06-2018,47,Croatia,All,US
01-07-2018,37,Croatia,All,US
08-07-2018,68,Croatia,All,US
15-07-2018,32,Croatia,All,US
22-07-2018,47,Croatia,All,US
29-07-2018,45,Croatia,All,US
05-08-2018,60,Croatia,All,US
12-08-2018,48,Croatia,All,US
19-08-2018,69,Croatia,All,US
02-09-2018,73,Croatia,All,US
09-09-2018,81,Croatia,All,US
07-10-2018,35,Croatia,All,US
18-11-2018,38,Croatia,All,US
26-05-2019,46,Croatia,All,US
02-06-2019,48,Croatia,All,US
09-06-2019,42,Croatia,All,US
16-06-2019,37,Croatia,All,US
23-06-2019,78,Croatia,All,US
30-06-2019,53,Croatia,All,US
07-07-2019,61,Croatia,All,US
14-07-2019,50,Croatia,All,US
21-07-2019,80,Croatia,All,US
28-07-2019,30,Croatia,All,US
04-08-2019,45,Croatia,All,US
11-08-2019,73,Croatia,All,US
29-03-2020,66,Croatia,All,US
05-04-2020,34,Croatia,All,US
12-04-2020,50,Croatia,All,US
19-04-2020,57,Croatia,All,US
26-04-2020,43,Croatia,All,US
27-09-2020,66,Croatia,All,US
18-10-2020,80,Croatia,All,US
25-10-2020,33,Croatia,All,US
01-11-2020,54,Croatia,All,US
22-11-2020,56,Croatia,All,US
29-11-2020,73,Croatia,All,US
06-12-2020,76,Croatia,All,US
13-12-2020,78,Croatia,All,US
20-12-2020,70,Croatia,All,US
10-01-2021,80,Croatia,All,US
17-01-2021,74,Croatia,All,US
24-01-2021,35,Croatia,All,US
31-01-2021,72,Croatia,All,US
07-02-2021,80,Croatia,All,US
14-02-2021,55,Croatia,All,US
28-02-2021,52,Croatia,All,US
06-06-2021,39,Croatia,All,US
13-06-2021,32,Croatia,All,US
20-06-2021,75,Croatia,All,US
27-06-2021,33,Croatia,All,US
24-10-2021,64,Croatia,All,US
28-11-2021,51,Croatia,All,US
05-12-2021,71,Croatia,All,US
19-12-2021,47,Croatia,All,US
05-06-2022,56,Croatia,All,US
12-06-2022,54,Croatia,All,US
24-07-2022,41,Croatia,All,US
20-11-2022,49,Croatia,All,US
27-11-2022,34,Croatia,All,US
04-12-2022,63,Croatia,All,US
11-12-2022,37,Croatia,All,US
18-12-2022,69,Croatia,All,US
27-05-2018,33,Florence,All,US
24-06-2018,45,Florence,All,US
02-09-2018,47,Florence,All,US
09-09-2018,64,Florence,All,US
16-09-2018,34,Florence,All,US
23-09-2018,77,Florence,All,US
30-09-2018,78,Florence,All,US
29-12-2019,46,Florence,All,US
18-10-2020,37,Florence,All,US
01-11-2020,39,Florence,All,US
22-11-2020,54,Florence,All,US
06-12-2020,52,Florence,All,US
20-12-2020,54,Florence,All,US
11-07-2021,42,Florence,All,US
10-07-2022,67,Florence,All,US
04-09-2022,31,Florence,All,US
04-02-2018,76,Sicily,All,US
11-02-2018,43,Sicily,All,US
18-02-2018,72,Sicily,All,US
25-02-2018,29,Sicily,All,US
04-03-2018,61,Sicily,All,US
11-03-2018,72,Sicily,All,US
18-03-2018,65,Sicily,All,US
25-03-2018,72,Sicily,All,US
01-04-2018,59,Sicily,All,US
08-04-2018,44,Sicily,All,US
15-04-2018,62,Sicily,All,US
22-04-2018,30,Sicily,All,US
29-04-2018,37,Sicily,All,US
06-05-2018,40,Sicily,All,US
13-05-2018,29,Sicily,All,US
20-05-2018,52,Sicily,All,US
27-05-2018,40,Sicily,All,US
03-06-2018,71,Sicily,All,US
10-06-2018,49,Sicily,All,US
17-06-2018,57,Sicily,All,US
24-06-2018,70,Sicily,All,US
01-07-2018,80,Sicily,All,US
08-07-2018,54,Sicily,All,US
15-07-2018,62,Sicily,All,US
22-07-2018,54,Sicily,All,US
29-07-2018,44,Sicily,All,US
05-08-2018,42,Sicily,All,US
12-08-2018,49,Sicily,All,US
19-08-2018,62,Sicily,All,US
26-08-2018,30,Sicily,All,US
02-09-2018,53,Sicily,All,US
09-09-2018,44,Sicily,All,US
16-09-2018,78,Sicily,All,US
23-09-2018,65,Sicily,All,US
30-09-2018,44,Sicily,All,US
07-10-2018,69,Sicily,All,US
14-10-2018,66,Sicily,All,US
21-10-2018,45,Sicily,All,US
28-10-2018,54,Sicily,All,US
04-11-2018,49,Sicily,All,US
11-11-2018,52,Sicily,All,US
18-11-2018,50,Sicily,All,US
25-11-2018,74,Sicily,All,US
02-12-2018,80,Sicily,All,US
09-12-2018,61,Sicily,All,US
16-12-2018,38,Sicily,All,US
23-12-2018,79,Sicily,All,US
30-12-2018,77,Sicily,All,US
06-01-2019,69,Sicily,All,US
13-01-2019,32,Sicily,All,US
20-01-2019,64,Sicily,All,US
27-01-2019,56,Sicily,All,US
03-02-2019,51,Sicily,All,US
10-02-2019,80,Sicily,All,US
17-02-2019,34,Sicily,All,US
24-02-2019,50,Sicily,All,US
03-03-2019,43,Sicily,All,US
10-03-2019,60,Sicily,All,US
17-03-2019,81,Sicily,All,US
24-03-2019,42,Sicily,All,US
31-03-2019,41,Sicily,All,US
07-04-2019,68,Sicily,All,US
14-04-2019,34,Sicily,All,US
21-04-2019,39,Sicily,All,US
28-04-2019,40,Sicily,All,US
05-05-2019,63,Sicily,All,US
12-05-2019,80,Sicily,All,US
19-05-2019,56,Sicily,All,US
26-05-2019,37,Sicily,All,US
02-06-2019,51,Sicily,All,US
09-06-2019,58,Sicily,All,US
16-06-2019,40,Sicily,All,US
23-06-2019,50,Sicily,All,US
30-06-2019,71,Sicily,All,US
07-07-2019,37,Sicily,All,US
14-07-2019,33,Sicily,All,US
21-07-2019,66,Sicily,All,US
28-07-2019,60,Sicily,All,US
04-08-2019,80,Sicily,All,US
11-08-2019,73,Sicily,All,US
18-08-2019,42,Sicily,All,US
25-08-2019,76,Sicily,All,US
01-09-2019,40,Sicily,All,US
08-09-2019,38,Sicily,All,US
15-09-2019,50,Sicily,All,US
22-09-2019,74,Sicily,All,US
29-09-2019,51,Sicily,All,US
06-10-2019,73,Sicily,All,US
13-10-2019,41,Sicily,All,US
20-10-2019,65,Sicily,All,US
27-10-2019,52,Sicily,All,US
03-11-2019,64,Sicily,All,US
10-11-2019,80,Sicily,All,US
17-11-2019,40,Sicily,All,US
24-11-2019,80,Sicily,All,US
01-12-2019,48,Sicily,All,US
08-12-2019,58,Sicily,All,US
15-12-2019,71,Sicily,All,US
22-12-2019,33,Sicily,All,US
29-12-2019,71,Sicily,All,US
05-01-2020,58,Sicily,All,US
12-01-2020,57,Sicily,All,US
19-01-2020,63,Sicily,All,US
26-01-2020,60,Sicily,All,US
02-02-2020,31,Sicily,All,US
09-02-2020,50,Sicily,All,US
16-02-2020,74,Sicily,All,US
23-02-2020,53,Sicily,All,US
01-03-2020,74,Sicily,All,US
08-03-2020,41,Sicily,All,US
15-03-2020,44,Sicily,All,US
22-03-2020,74,Sicily,All,US
29-03-2020,78,Sicily,All,US
05-04-2020,78,Sicily,All,US
12-04-2020,61,Sicily,All,US
19-04-2020,70,Sicily,All,US
26-04-2020,44,Sicily,All,US
03-05-2020,78,Sicily,All,US
10-05-2020,46,Sicily,All,US
17-05-2020,51,Sicily,All,US
24-05-2020,65,Sicily,All,US
31-05-2020,54,Sicily,All,US
07-06-2020,71,Sicily,All,US
14-06-2020,42,Sicily,All,US
21-06-2020,29,Sicily,All,US
28-06-2020,52,Sicily,All,US
05-07-2020,69,Sicily,All,US
12-07-2020,50,Sicily,All,US
19-07-2020,68,Sicily,All,US
26-07-2020,53,Sicily,All,US
02-08-2020,34,Sicily,All,US
09-08-2020,68,Sicily,All,US
16-08-2020,57,Sicily,All,US
23-08-2020,44,Sicily,All,US
30-08-2020,56,Sicily,All,US
06-09-2020,45,Sicily,All,US
13-09-2020,46,Sicily,All,US
20-09-2020,57,Sicily,All,US
27-09-2020,55,Sicily,All,US
04-10-2020,45,Sicily,All,US
11-10-2020,71,Sicily,All,US
18-10-2020,51,Sicily,All,US
25-10-2020,46,Sicily,All,US
01-11-2020,68,Sicily,All,US
08-11-2020,35,Sicily,All,US
15-11-2020,78,Sicily,All,US
22-11-2020,53,Sicily,All,US
29-11-2020,80,Sicily,All,US
06-12-2020,56,Sicily,All,US
13-12-2020,42,Sicily,All,US
20-12-2020,63,Sicily,All,US
27-12-2020,47,Sicily,All,US
03-01-2021,59,Sicily,All,US
10-01-2021,71,Sicily,All,US
17-01-2021,40,Sicily,All,US
24-01-2021,67,Sicily,All,US
31-01-2021,55,Sicily,All,US
07-02-2021,64,Sicily,All,US
14-02-2021,70,Sicily,All,US
21-02-2021,72,Sicily,All,US
28-02-2021,57,Sicily,All,US
07-03-2021,40,Sicily,All,US
14-03-2021,56,Sicily,All,US
21-03-2021,38,Sicily,All,US
28-03-2021,80,Sicily,All,US
04-04-2021,76,Sicily,All,US
11-04-2021,63,Sicily,All,US
18-04-2021,46,Sicily,All,US
25-04-2021,72,Sicily,All,US
02-05-2021,36,Sicily,All,US
09-05-2021,64,Sicily,All,US
16-05-2021,38,Sicily,All,US
23-05-2021,60,Sicily,All,US
30-05-2021,62,Sicily,All,US
06-06-2021,76,Sicily,All,US
13-06-2021,45,Sicily,All,US
20-06-2021,61,Sicily,All,US
27-06-2021,38,Sicily,All,US
04-07-2021,46,Sicily,All,US
11-07-2021,37,Sicily,All,US
18-07-2021,63,Sicily,All,US
25-07-2021,31,Sicily,All,US
01-08-2021,72,Sicily,All,US
08-08-2021,37,Sicily,All,US
15-08-2021,54,Sicily,All,US
22-08-2021,65,Sicily,All,US
29-08-2021,78,Sicily,All,US
05-09-2021,46,Sicily,All,US
12-09-2021,56,Sicily,All,US
19-09-2021,74,Sicily,All,US
26-09-2021,66,Sicily,All,US
03-10-2021,39,Sicily,All,US
10-10-2021,53,Sicily,All,US
17-10-2021,70,Sicily,All,US
24-10-2021,31,Sicily,All,US
31-10-2021,62,Sicily,All,US
07-11-2021,66,Sicily,All,US
14-11-2021,54,Sicily,All,US
21-11-2021,29,Sicily,All,US
28-11-2021,61,Sicily,All,US
05-12-2021,51,Sicily,All,US
12-12-2021,73,Sicily,All,US
19-12-2021,67,Sicily,All,US
26-12-2021,58,Sicily,All,US
02-01-2022,31,Sicily,All,US
09-01-2022,41,Sicily,All,US
16-01-2022,56,Sicily,All,US
23-01-2022,66,Sicily,All,US
30-01-2022,76,Sicily,All,US
06-02-2022,53,Sicily,All,US
13-02-2022,62,Sicily,All,US
20-02-2022,39,Sicily,All,US
27-02-2022,59,Sicily,All,US
06-03-2022,69,Sicily,All,US
13-03-2022,63,Sicily,All,US
20-03-2022,62,Sicily,All,US
27-03-2022,43,Sicily,All,US
03-04-2022,79,Sicily,All,US
10-04-2022,29,Sicily,All,US
17-04-2022,37,Sicily,All,US
24-04-2022,77,Sicily,All,US
01-05-2022,47,Sicily,All,US
08-05-2022,62,Sicily,All,US
15-05-2022,31,Sicily,All,US
22-05-2022,77,Sicily,All,US
29-05-2022,59,Sicily,All,US
05-06-2022,63,Sicily,All,US
12-06-2022,44,Sicily,All,US
19-06-2022,54,Sicily,All,US
26-06-2022,32,Sicily,All,US
03-07-2022,70,Sicily,All,US
10-07-2022,49,Sicily,All,US
17-07-2022,64,Sicily,All,US
24-07-2022,61,Sicily,All,US
31-07-2022,61,Sicily,All,US
07-08-2022,56,Sicily,All,US
14-08-2022,30,Sicily,All,US
21-08-2022,67,Sicily,All,US
28-08-2022,65,Sicily,All,US
04-09-2022,55,Sicily,All,US
11-09-2022,81,Sicily,All,US
18-09-2022,54,Sicily,All,US
25-09-2022,56,Sicily,All,US
02-10-2022,57,Sicily,All,US
09-10-2022,36,Sicily,All,US
16-10-2022,67,Sicily,All,US
23-10-2022,65,Sicily,All,US
30-10-2022,70,Sicily,All,US
06-11-2022,55,Sicily,All,US
13-11-2022,57,Sicily,All,US
20-11-2022,41,Sicily,All,US
27-11-2022,31,Sicily,All,US
04-12-2022,42,Sicily,All,US
11-12-2022,61,Sicily,All,US
18-12-2022,56,Sicily,All,US
25-12-2022,47,Sicily,All,US
01-01-2023,65,Sicily,All,US
08-01-2023,31,Sicily,All,US
15-01-2023,53,Sicily,All,US
22-01-2023,50,Sicily,All,US
29-01-2023,41,Sicily,All,US
04-02-2018,46,Sardinia,All,US
11-02-2018,47,Sardinia,All,US
18-02-2018,56,Sardinia,All,US
25-02-2018,57,Sardinia,All,US
04-03-2018,42,Sardinia,All,US
11-03-2018,55,Sardinia,All,US
