Week,Index,SearchWord,Category
2022-08-28,3,Croatia,All
2022-09-04,3,Croatia,All
2022-09-11,3,Croatia,All
2022-09-25,3,Croatia,All
2022-10-02,3,Croatia,All
2022-11-13,3,Croatia,All
2022-12-25,3,Croatia,All
2023-01-08,3,Croatia,All
2023-01-15,3,Croatia,All
2023-01-22,3,Croatia,All
2023-01-29,3,Croatia,All
2018-03-18,4,Croatia,All
2018-03-25,4,Croatia,All
2018-05-06,4,Croatia,All
2018-05-13,4,Croatia,All
2018-05-20,4,Croatia,All
2018-08-26,4,Croatia,All
2018-11-11,4,Croatia,All
2019-03-24,4,Croatia,All
2019-05-05,4,Croatia,All
2019-05-12,4,Croatia,All
2019-05-19,4,Croatia,All
2019-08-18,4,Croatia,All
2019-08-25,4,Croatia,All
2019-09-01,4,Croatia,All
2019-09-08,4,Croatia,All
2020-07-26,4,Croatia,All
2020-08-09,4,Croatia,All
2020-08-16,4,Croatia,All
2020-09-06,4,Croatia,All
2020-12-27,4,Croatia,All
2021-07-04,4,Croatia,All
2021-07-11,4,Croatia,All
2021-07-18,4,Croatia,All
2021-07-25,4,Croatia,All
2021-08-01,4,Croatia,All
2021-08-08,4,Croatia,All
2021-08-15,4,Croatia,All
2021-08-22,4,Croatia,All
2021-08-29,4,Croatia,All
2022-03-20,4,Croatia,All
2022-05-29,4,Croatia,All
2022-06-19,4,Croatia,All
2022-06-26,4,Croatia,All
2022-07-03,4,Croatia,All
2022-07-10,4,Croatia,All
2022-07-17,4,Croatia,All
2022-07-31,4,Croatia,All
2022-08-07,4,Croatia,All
2022-08-14,4,Croatia,All
2022-08-21,4,Croatia,All
2022-09-18,4,Croatia,All
2023-01-01,4,Croatia,All
2018-03-04,4,Florence,All
2018-03-11,4,Florence,All
2018-03-18,4,Florence,All
2018-03-25,4,Florence,All
2018-04-01,4,Florence,All
2018-04-08,4,Florence,All
2018-04-15,4,Florence,All
2018-04-22,4,Florence,All
2018-04-29,4,Florence,All
2018-05-06,4,Florence,All
2018-05-13,4,Florence,All
2018-05-20,4,Florence,All
2018-06-03,4,Florence,All
2018-06-10,4,Florence,All
2018-06-17,4,Florence,All
2018-07-01,4,Florence,All
2018-07-08,4,Florence,All
2018-07-15,4,Florence,All
2018-07-22,4,Florence,All
2018-07-29,4,Florence,All
2018-08-05,4,Florence,All
2018-08-12,4,Florence,All
2018-08-26,4,Florence,All
2018-10-07,4,Florence,All
2018-10-14,4,Florence,All
2018-10-28,4,Florence,All
2018-11-11,4,Florence,All
2019-01-27,4,Florence,All
2019-02-03,4,Florence,All
2019-02-10,4,Florence,All
2019-02-17,4,Florence,All
2019-02-24,4,Florence,All
2019-03-03,4,Florence,All
2019-03-10,4,Florence,All
2019-03-17,4,Florence,All
2019-03-24,4,Florence,All
2019-03-31,4,Florence,All
2019-04-07,4,Florence,All
2019-04-14,4,Florence,All
2019-04-21,4,Florence,All
2019-04-28,4,Florence,All
2019-05-05,4,Florence,All
2019-05-12,4,Florence,All
2019-05-19,4,Florence,All
2019-05-26,4,Florence,All
2019-06-02,4,Florence,All
2019-06-09,4,Florence,All
2019-06-16,4,Florence,All
2019-06-23,4,Florence,All
2019-06-30,4,Florence,All
2019-07-07,4,Florence,All
2019-07-14,4,Florence,All
2019-07-21,4,Florence,All
2019-07-28,4,Florence,All
2019-08-04,4,Florence,All
2019-08-11,4,Florence,All
2019-08-18,4,Florence,All
2019-08-25,4,Florence,All
2019-09-01,4,Florence,All
2019-09-08,4,Florence,All
2019-09-15,4,Florence,All
2019-09-22,4,Florence,All
2019-09-29,4,Florence,All
2019-12-15,4,Florence,All
2019-12-22,4,Florence,All
2020-01-05,4,Florence,All
2020-01-12,4,Florence,All
2020-01-19,4,Florence,All
2020-01-26,4,Florence,All
2020-02-02,4,Florence,All
2020-02-09,4,Florence,All
2020-02-16,4,Florence,All
2020-02-23,4,Florence,All
2020-03-01,4,Florence,All
2020-05-10,4,Florence,All
2021-02-14,4,Florence,All
2021-07-04,4,Florence,All
2021-07-18,4,Florence,All
2021-07-25,4,Florence,All
2021-08-01,4,Florence,All
2022-01-02,4,Florence,All
2022-03-06,4,Florence,All
